index,operationName,file,originalCategory,domain,confidence,matchedBy
9,Alphabet,FromBase58.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
10,Alphabet,ToBase58.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
53,Convert,ToHexContent.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
73,Delimiter,FromBinary.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
74,Delimiter,FromCharcode.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
75,Delimiter,FromDecimal.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
76,Delimiter,FromOctal.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
88,Delimiter,ToBinary.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
89,Delimiter,ToCharcode.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
90,Delimiter,ToDecimal.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
91,Delimiter,ToOctal.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
98,DropNthBytes,DropNthBytes.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
105,Encoding,DecodeText.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
106,Encoding,EncodeText.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
107,Encoding,FromBech32.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
134,Format options,ToMorseCode.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
135,FromBase32,FromBase32.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
136,FromBase45,FromBase45.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
137,FromBase62,FromBase62.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
138,FromBase64,FromBase64.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
139,FromBase85,FromBase85.mjs,encoding/cipher,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
140,FromBase92,FromBase92.mjs,misc,encodings-codecs,medium,/base\d+|base\s?\d+|bech32|hex|binary|octal|decimal|ascii|utf-?\d+|utf8|utf16|utf32|charcode|braille|percent|url\s?encode|url\s?decode|encode\s*text|decode\s*text|rot\d+|morse|a1z26|punycode|quoted\s?printable|bytes?/i
